fid,name,price,rating,reviews,stars
289,Hotel Irun,3873.5,7.9,142,3
290,Atempo Design Hotel,9842.5,8.2,236,4
291,Tiana Hotel Boutique,4889.5,7.9,398,4
292,Innayres Suites,3556,8.9,192,
293,Sissi Haz Hotel,5778.5,9.1,595,3
294,Ker Historic San Telmo,6159.5,9.3,57,4
295,Monoambiente en el centro de Recoleta,3492.5,9.1,24,
296,Apartment Cerviño Buenos Aires,3429,9.4,128,
297,Scala Hotel Buenos Aires,5207,8.8,791,4
298,Ayacucho Palace Hotel,3429,7.8,742,2
299,Departamento en Buenos Aires,2222.5,8.6,78,
300,HTL 9 de Julio BsAs,2921,8.3,1646,4
301,Hotel Quito,1778,8.4,443,
302,Hostel Carlos Gardel,2095.5,8.5,319,
303,Ideal social hostel,1587.5,8.6,612,
304,Babel Studios,3111.5,7.8,1139,
305,Rochester Hotel M,3111.5,7.8,293,4
306,Art Factory Beer Garden,2095.5,7.3,1053,
307,Art Factory San Telmo,1524,7.7,1352,
308,San Telmo Luxury Suites,6921.5,8.3,287,4
309,Be Hollywood!,9652,8.3,276,4
310,Corrientes Petit,3048,8.2,107,
311,Charcas Hostel,1651,7.6,427,
312,Alma Bohemia Hostel,1079.5,6.9,665,
313,Hotel Parada,1524,7.8,740,1
314,Kalahat,1587.5,8.9,231,
315,Apart Corrientes 767,1651,6.5,696,
316,Juramento de Lealtad Townhouse Hotel,4635.5,7.3,306,3
317,5411 Soho Hotel,4508.5,8.1,484,3
318,Apartamentos Comodoro,3429,8.2,5,
319,Tower Rock Palermo Buenos Aires,6159.5,8,13,
320,Hotel Pedraza,3683,8.4,181,1
321,Own Express Recoleta,6096,8,1132,4
322,Howard Johnson Hotel 9 de Julio Avenue,5080,7.9,543,4
323,Hermoso departamento en Nuñez. Bs As. Argentina. 4 personas.,5016.5,8.3,7,
324,Hotel Esperia,1905,7.3,223,1
325,San Remo Apartments,2603.5,8,209,
326,Hotel San Carlos,1714.5,6.8,363,2
327,Departamento sobre Av. Corrientes al 800,2476.5,9,15,
328,Meridiano Hostel Boutique,3492.5,8.8,559,
329,Portal del Sur Hostel,2159,8.2,447,
330,Aráoz 2926,2794,9,28,
331,Hotel Minerva,952.5,7.3,179,1
332,Hostelmo Hotel,1206.5,7.1,372,
333,Cómodo y luminoso departamento estilo náutico,2159,9.7,8,
334,Bliss Hostel,2857.5,7.6,170,
335,Rugantino Hotel Boutique,6540.5,8.2,378,3
336,Buenos Días Buenos Aires,3302,8.4,162,
337,Two Hotel Buenos Aires,6223,8.1,1051,3
338,Hotel Casona La Boheme,1651,8.6,239,
339,Bisonte Libertad,4699,7.7,1484,4
340,CH Le Petit Suites,3810,8.1,1050,4
341,Corazón de Palermo Soho,2222.5,9.1,67,
342,Rochester Hotel Concept,3429,7.4,292,3
343,Apartur Buenos Aires,3048,7.6,275,
344,Village Garden Apart Hotel,3429,7.5,162,3
345,Tacha,3492.5,8.4,111,
346,Hotel Etoile,7175.5,7.9,2485,4
347,Hostel Estoril,1905,8.4,826,
348,BA Hollywood Apartments,4889.5,7.6,223,
349,Studios Montevideo,2540,9.3,159,
350,Master Hostel Borges,1905,8.6,349,
351,Gran Hotel Hispano,2603.5,8.2,795,2
352,Callao 1234,4064,8.2,83,
353,Hotel Piamonte,1397,8.2,15,2
354,Palermo Soho Hostel,1651,5.8,671,
355,Confortable Apartment,2984.5,8.4,10,
356,Hotel Bel Air,6032.5,8.2,563,3
357,Hotel & Hostel Chipre,1016,6.2,278,1
358,Hotel UTHGRA de las Luces,2794,7.8,519,3
359,Hotel UOM Buenos Aires,5207,9.2,804,3
360,Metropolitan Highline,3619.5,7.9,54,
361,Ker Urquiza Hotel & Suites,3873.5,7.7,1227,3
362,Globales Republica,3937,7.7,4011,4
363,Benita Hostel,3175,8.8,189,
364,Hotel Siena,1841.5,8,144,1
365,Recoleta Mediterráneo,4445,9,31,
366,Estacion Palermo,4572,7.8,13,
367,Bulnes Eco Suites,7239,9,1294,4
368,Columbia Palace Hotel,4508.5,7.5,883,3
369,Constitución Palace Hotel,5207,7.2,81,3
370,Petit Recoleta Suites,2286,6.9,911,
371,Apart San Cristobal,2540,9.4,60,
372,Esplendor by Wyndham Buenos Aires,5969,8,335,4
373,Syrah Suites,3492.5,8.6,751,
374,Best View Puerto Madero,6858,9,57,
375,Serena Hotel Buenos Aires,12890.5,8.6,328,5
376,New & Light in Belgrano,5524.5,8.7,3,
377,Hostel Tango Argentina,1397,6.2,270,
378,NH Collection Buenos Aires Centro Histórico,11620.5,8.8,636,5
379,Loft para 4 personas,4699,8.7,27,
380,Faena Hotel - Master Suite - Residence,31051.5,8.8,20,
381,Departamento centro vista al obelisco,3238.5,9.4,51,
382,Buenos Aires House,1524,7,6,
383,Gran Hotel España,1460.5,7.6,507,
384,Art Suites,4889.5,8.4,553,4
385,Emperador Hotel Buenos Aires,17589.5,8.7,182,5
386,Imperial Park Hotel,4572,7.4,132,4
387,Nuss Buenos Aires Soho,13843,8.7,380,5
388,Departamento Tucuman y 25 de Mayo,5207,7.8,6,
389,El Candil de San Telmo,3111.5,7.5,85,3
390,Uno Buenos Aires Suites,4953,8.2,887,4
391,Telmotango Hotel Suites,1524,7.2,703,
392,BA Sucre Apart,3556,8.5,39,
393,Hotel Aries Palermo,2032,7.6,366,1
394,Master Hostel,1778,8.5,1220,
395,Apart San Diego Recoleta,4508.5,8.2,888,3
396,Embajador Hotel,4191,7.6,554,3
397,Sunlight Recoleta Suites & Apartments,4064,7.9,172,
398,Hotel Omega,2286,7.7,217,1
399,Casa Chic Palermo Soho,6413.5,8.2,294,
400,Park Silver Obelisco,4508.5,8.5,1964,4
401,Magia y poesía,1905,8.4,4,
402,Hotel Viedma,1079.5,7.8,17,
403,Almagro Lujoso,2667,7.2,15,
404,Amelia Apartment,2667,9.5,26,
405,Montañeses petit,4064,9.1,54,
406,Roosevelt,1714.5,8.2,259,
407,Tanguero Hotel Boutique Antique,7048.5,8.9,273,4
408,Hotel Palermitano by DON,10541,8.1,186,4
409,Lemon Suites,5842,8.9,754,
410,Key Hotels San Telmo,5270.5,8.1,143,4
411,Garden House Hostel,1524,7.8,135,
412,Shvili,2603.5,9.3,46,
413,Home Hotel,13843,9,96,4
414,LOPEZ Hostel & Suites,2794,8.8,358,
415,Studio Esmeralda,3238.5,9.9,12,
416,Mansion Vitraux Boutique Hotel,9588.5,8.7,461,
417,Departamento Palermo Soho 2,3492.5,8.7,45,
418,Gardel Flats,3365.5,8,71,
419,Corrientes y Esmeralda,3619.5,8.5,49,
420,Tango de Mayo Hotel,6477,9,2198,4
421,Moderno Departamento Centrico 3P,2984.5,9.3,5,
422,Dg Apart Obelisco,4000.5,9.4,24,
423,Depto. Baires,4127.5,9,37,
424,Cleopatra,3175,9.6,49,
425,Top Rentals,7683.5,8.5,465,
426,ARC Callao Studios & Suites,4127.5,8.7,754,
427,Cyan Recoleta Hotel,7429.5,8.3,669,4
428,Bosques de Palermo Apartment,2921,9.7,75,
429,Anchorena Rent,3175,8.9,36,
